scenario_id,strategy,sample_size,mean_mttr_s,median_mttr_s,mttr_95_ci,mean_downtime_s,mean_decision_latency_s,success_rate_pct,rollback_rate_pct,outliers_count
SCENARIO-01,naive_restart,3,0.109,0.109,"[0.11, 0.11]",0.42,0.0,100.0,0.0,0
SCENARIO-01,no_multi_agent,3,0.0,0.0,"[0.00, 0.00]",0.317,0.0,100.0,0.0,0
SCENARIO-01,no_rollback,3,0.0,0.0,"[0.00, 0.00]",0.316,0.0,100.0,0.0,0
SCENARIO-01,no_sandbox,3,0.0,0.0,"[0.00, 0.00]",0.313,0.0,100.0,0.0,0
SCENARIO-01,safeopsai,3,0.517,0.517,"[0.52, 0.52]",0.828,0.0,100.0,0.0,0
SCENARIO-02,naive_restart,3,120.0,120.0,"[120.00, 120.00]",120.0,0.0,0.0,0.0,0
SCENARIO-02,no_multi_agent,3,120.0,120.0,"[120.00, 120.00]",120.0,0.0,0.0,0.0,0
SCENARIO-02,no_rollback,3,0.0,0.0,"[0.00, 0.00]",0.311,0.0,100.0,0.0,0
SCENARIO-02,no_sandbox,3,0.0,0.0,"[0.00, 0.00]",0.311,0.0,100.0,0.0,0
SCENARIO-02,safeopsai,3,0.516,0.515,"[0.51, 0.52]",0.827,0.0,100.0,0.0,0
SCENARIO-03,naive_restart,3,120.0,120.0,"[120.00, 120.00]",120.0,0.0,0.0,0.0,0
SCENARIO-03,no_multi_agent,3,120.0,120.0,"[120.00, 120.00]",120.0,0.0,0.0,0.0,0
SCENARIO-03,no_rollback,3,0.0,0.0,"[0.00, 0.00]",0.313,0.0,100.0,0.0,0
SCENARIO-03,no_sandbox,3,0.0,0.0,"[-0.00, 0.00]",0.318,0.0,100.0,0.0,0
SCENARIO-03,safeopsai,3,0.514,0.515,"[0.51, 0.52]",0.831,0.0,100.0,0.0,0
SCENARIO-04,naive_restart,3,120.0,120.0,"[120.00, 120.00]",120.0,0.0,0.0,0.0,0
SCENARIO-04,no_multi_agent,3,120.0,120.0,"[120.00, 120.00]",120.0,0.0,0.0,0.0,0
SCENARIO-04,no_rollback,3,0.0,0.0,"[0.00, 0.00]",0.312,0.0,100.0,0.0,0
SCENARIO-04,no_sandbox,3,0.0,0.0,"[0.00, 0.00]",0.316,0.0,100.0,0.0,0
SCENARIO-04,safeopsai,3,0.513,0.513,"[0.51, 0.52]",0.824,0.0,100.0,0.0,0
SCENARIO-05,naive_restart,3,0.11,0.11,"[0.11, 0.11]",0.421,0.0,100.0,0.0,0
SCENARIO-05,no_multi_agent,3,0.0,0.0,"[0.00, 0.00]",0.31,0.0,100.0,0.0,0
SCENARIO-05,no_rollback,3,0.0,0.0,"[0.00, 0.00]",0.311,0.0,100.0,0.0,0
SCENARIO-05,no_sandbox,3,0.0,0.0,"[-0.00, 0.00]",0.313,0.0,100.0,0.0,0
SCENARIO-05,safeopsai,3,0.52,0.516,"[0.50, 0.54]",0.831,0.0,100.0,0.0,0
SCENARIO-06,naive_restart,3,120.0,120.0,"[120.00, 120.00]",120.0,0.0,0.0,0.0,0
SCENARIO-06,no_multi_agent,3,120.0,120.0,"[120.00, 120.00]",120.0,0.0,0.0,0.0,0
SCENARIO-06,no_rollback,3,0.0,0.0,"[0.00, 0.00]",0.317,0.0,100.0,0.0,0
SCENARIO-06,no_sandbox,3,0.0,0.0,"[0.00, 0.00]",0.311,0.0,100.0,0.0,0
SCENARIO-06,safeopsai,3,0.516,0.516,"[0.51, 0.52]",0.83,0.0,100.0,0.0,0
