experiment_run_id,experiment_id,scenario_id,strategy,repetition,is_warmup,status,started_at,fault_injected_at,incident_detected_at,decision_at,remediation_started_at,recovered_at,mttr_seconds,downtime_seconds,detection_latency_seconds,decision_latency_seconds,remediation_latency_seconds,rollback,success,escalated,selected_remediation,top_ranked_candidate,sandbox_pass,candidate_fallback_count,remediation_attempts,recovery_score,final_outcome
RUN-7B7C24A2,EXP-REPORT,SCENARIO-01,safeopsai,1,True,COMPLETED,2026-08-22T08:33:09.750565+00:00,2026-08-22T08:33:09.857504+00:00,2026-08-22T08:33:10.169795+00:00,2026-08-22T08:33:10.169795+00:00,2026-08-22T08:33:10.482292+00:00,2026-08-22T08:33:10.685957+00:00,0.516,0.828,0.312,0.0,0.204,False,True,False,restart_service,restart_service,True,0,1,0.98,SUCCESS
RUN-009EBA81,EXP-REPORT,SCENARIO-01,safeopsai,2,True,COMPLETED,2026-08-22T08:33:10.795656+00:00,2026-08-22T08:33:10.904168+00:00,2026-08-22T08:33:11.216458+00:00,2026-08-22T08:33:11.216458+00:00,2026-08-22T08:33:11.526766+00:00,2026-08-22T08:33:11.729724+00:00,0.513,0.826,0.312,0.0,0.203,False,True,False,restart_service,restart_service,True,0,1,0.98,SUCCESS
RUN-72BF1F79,EXP-REPORT,SCENARIO-01,naive_restart,1,True,COMPLETED,2026-08-22T08:33:11.839927+00:00,2026-08-22T08:33:11.949027+00:00,2026-08-22T08:33:12.264244+00:00,2026-08-22T08:33:12.264244+00:00,2026-08-22T08:33:12.264244+00:00,2026-08-22T08:33:12.374108+00:00,0.11,0.425,0.315,0.0,0.11,False,True,False,restart_service,restart_service,,0,1,1.0,COMPLETED
RUN-2B48D005,EXP-REPORT,SCENARIO-01,naive_restart,2,True,COMPLETED,2026-08-22T08:33:12.484897+00:00,2026-08-22T08:33:12.594486+00:00,2026-08-22T08:33:12.908429+00:00,2026-08-22T08:33:12.908429+00:00,2026-08-22T08:33:12.908429+00:00,2026-08-22T08:33:13.018276+00:00,0.11,0.424,0.314,0.0,0.11,False,True,False,restart_service,restart_service,,0,1,1.0,COMPLETED
RUN-E547C7AF,EXP-REPORT,SCENARIO-01,no_sandbox,1,True,COMPLETED,2026-08-22T08:33:13.129645+00:00,2026-08-22T08:33:13.238721+00:00,2026-08-22T08:33:13.550978+00:00,2026-08-22T08:33:13.550978+00:00,2026-08-22T08:33:13.550978+00:00,2026-08-22T08:33:13.550978+00:00,0.0,0.312,0.312,0.0,0.0,False,True,False,restart_service,restart_service,,0,1,0.92,SUCCESS
RUN-6F3F2048,EXP-REPORT,SCENARIO-01,no_sandbox,2,True,COMPLETED,2026-08-22T08:33:13.660566+00:00,2026-08-22T08:33:13.771882+00:00,2026-08-22T08:33:14.084202+00:00,2026-08-22T08:33:14.084202+00:00,2026-08-22T08:33:14.084202+00:00,2026-08-22T08:33:14.084202+00:00,0.0,0.312,0.312,0.0,0.0,False,True,False,restart_service,restart_service,,0,1,0.92,SUCCESS
RUN-0C39A008,EXP-REPORT,SCENARIO-01,no_multi_agent,1,True,COMPLETED,2026-08-22T08:33:14.194611+00:00,2026-08-22T08:33:14.303179+00:00,2026-08-22T08:33:14.616258+00:00,2026-08-22T08:33:14.616258+00:00,2026-08-22T08:33:14.616258+00:00,2026-08-22T08:33:14.616258+00:00,0.0,0.313,0.313,0.0,0.0,False,True,False,restart_service,restart_service,True,0,1,0.85,SUCCESS
RUN-FF5ABE98,EXP-REPORT,SCENARIO-01,no_multi_agent,2,True,COMPLETED,2026-08-22T08:33:14.725301+00:00,2026-08-22T08:33:14.835562+00:00,2026-08-22T08:33:15.147146+00:00,2026-08-22T08:33:15.147146+00:00,2026-08-22T08:33:15.147146+00:00,2026-08-22T08:33:15.147146+00:00,0.0,0.312,0.312,0.0,0.0,False,True,False,restart_service,restart_service,True,0,1,0.85,SUCCESS
RUN-23CAC7F0,EXP-REPORT,SCENARIO-01,no_rollback,1,True,COMPLETED,2026-08-22T08:33:15.253691+00:00,2026-08-22T08:33:15.364338+00:00,2026-08-22T08:33:15.676651+00:00,2026-08-22T08:33:15.676651+00:00,2026-08-22T08:33:15.676651+00:00,2026-08-22T08:33:15.676651+00:00,0.0,0.312,0.312,0.0,0.0,False,True,False,restart_service,restart_service,True,0,1,0.95,SUCCESS
RUN-2A49591C,EXP-REPORT,SCENARIO-01,no_rollback,2,True,COMPLETED,2026-08-22T08:33:15.784577+00:00,2026-08-22T08:33:15.894380+00:00,2026-08-22T08:33:16.210049+00:00,2026-08-22T08:33:16.210049+00:00,2026-08-22T08:33:16.210049+00:00,2026-08-22T08:33:16.210049+00:00,0.0,0.316,0.316,0.0,0.0,False,True,False,restart_service,restart_service,True,0,1,0.95,SUCCESS
